,name,average_review,review_count,price_range,street_address,restaurant_type
0,Smoke Jazz and Supper Club,4.42155,2155,$31 to $50,"2751 Broadway New York, NY  10025",Contemporary American
1,Tavern on the Green,4.67029,7029,$31 to $50,"1 Tavern on the Green New York, NY  10023",American
2,ABC Kitchen,4.76031,6031,$31 to $50,"35 East 18th Street New York, NY  10003",Contemporary American
3,Catch New York,4.5483,4830,$31 to $50,"21 Ninth Avenue New York, NY  10014",Seafood
4,Becco,4.418139,18139,$30 and under,"355 West 46th Street New York, NY  10010",Italian
5,Estiatorio Milos - NY,4.84404,4404,$50 and over,"125 West 55th Street New York, NY  10019",Seafood
6,Tao Uptown,4.6106,10600,$31 to $50,"42 East 58th Street New York, NY  10022",Asian
7,Red Rooster Harlem,4.45682,5682,$31 to $50,"310 Lenox Avenue New York, NY  10027",Southern
8,Del Frisco's Double Eagle Steak House - New York City,4.77225,7225,$50 and over,"1221 Avenue of the Americas New York, NY  10020",Steakhouse
9,FIG & OLIVE Fifth Avenue,4.57186,7186,$31 to $50,"10 East 52nd Street New York, NY  10021",Mediterranean
10,Rosa Mexicano by Lincoln Center,4.46215,6215,$31 to $50,"61 Columbus Avenue New York, NY  10023",Mexican
11,ABC Cocina,4.72171,2171,$30 and under,"38 East 19th Street New York, NY  10003",Tapas / Small Plates
12,Gallaghers Steakhouse - Manhattan,4.6502,5020,$50 and over,"228 West 52nd Street New York, NY  10019",Steakhouse
13,Boulud Sud,4.64853,4853,$50 and over,"20 West 64th Street New York, NY  10023",Mediterranean
14,Nougatine at Jean Georges,4.65918,5918,$31 to $50,"1 Central Park West New York, NY  10023",French
15,Sarabeth's Central Park South,4.4357,3570,$30 and under,"40 Central Park South New York, NY  10019",American
16,Tao Downtown,4.62291,2291,$50 and over,"92 Ninth Ave New York, NY  10011",Pan-Asian
17,ilili,4.64981,4981,$31 to $50,"236 Fifth Avenue New York, NY  10001",Lebanese
18,Scarpetta,4.63829,3829,$31 to $50,"88 Madison Ave New York, NY  10016",Italian
19,Atlantic Grill Near Lincoln Center,4.45246,5246,$31 to $50,"49 West 64th St. New York, NY  10023",Seafood
20,Empellon Midtown,4.6502,502,$31 to $50,"Empellon 510 Madison Avenue New York, NY  10022",Contemporary Mexican
21,Ocean Prime - New York,4.71701,1701,$31 to $50,"123 West 52nd Street New York, NY  10019",Seafood
22,Sarabeth's West,4.51471,1471,$30 and under,"423 Amsterdam Avenue New York, NY  10024",American
23,STK - NYC - Midtown,4.52678,2678,$31 to $50,"1114 Avenue of the Americas New York, NY  10036",Steakhouse
24,Toloache-Midtown,4.55178,5178,$30 and under,"251 West 50th Street New York, NY  10012",Mexican
25,Blue Fin - New York,4.36558,6558,$31 to $50,"1567 Broadway at 47th Street W Hotel Times Square New York, NY  10036",Seafood
26,Bar Boulud,4.46814,6814,$30 and under,"1900 Broadway New York, NY  10023",French
27,Hakkasan - New York,4.62492,2492,$50 and over,"311 West 43rd Street New York, NY  10036",Chinese
28,Lincoln Ristorante,4.64697,4697,$31 to $50,"142 West 65th St. New York, NY  10023",Italian
29,Café Boulud,4.65194,5194,$50 and over,"20 East 76th St. New York, NY  10021",French
30,The View Restaurant,4.310389,10389,$31 to $50,"1535 Broadway New York, NY  10036",Contemporary American
31,Park Avenue Spring,4.61837,1837,$31 to $50,"360 Park Avenue South New York, NY  10010",American
32,Zuma Japanese Restaurant - NY,4.7678,678,$50 and over,"261 Madison Avenue New York, NY  10016",Japanese
33,La Pecora Bianca - NoMad,4.6911,911,$30 and under,"1133 Broadway New York, NY  10010",Italian
34,La Pecora Bianca - Midtown,4.5288,288,$30 and under,"950 2nd Avenue New York, NY  10022",Italian
35,Calle Ocho,4.33465,3465,$31 to $50,"45 West 81st Street inside the Excelsior Hotel New York, NY  10024",Latin American
36,Sarabeth's Park Avenue South,4.51604,1604,$30 and under,"381 Park Ave South New York, NY  10013",American
37,Lavo - NYC,4.62317,2317,$50 and over,"39 East 58th Street New York, NY  10022",Italian
38,La Masseria,4.63664,3664,$31 to $50,"235 West 48th Street New York, NY  10036",Italian
39,Lido,4.51047,1047,$30 and under,"2168 Frederick Douglass Blvd. New York, NY  10026",Italian
40,Ristorante Morini,4.6119,1190,$31 to $50,"1167 Madison Avenue New York, NY  10020",Italian
41,Morimoto New York,4.65894,5894,$50 and over,"88 10th Avenue New York, NY  10011",Japanese
42,Aureole,4.53346,3346,$31 to $50,"135 West 42nd Street New York, NY  10036",American
43,Fogo de Chao Brazilian Steakhouse - New York,4.61772,1772,$50 and over,"40 W 53rd Street New York, NY  10019",Brazilian Steakhouse
44,Limani - NYC,4.61406,1406,$50 and over,"45 Rockefeller Plaza New York, NY  10011",Mediterranean
45,Ai Fiori,4.63794,3794,$31 to $50,"400 5th Avenue New York, NY  10018",Contemporary European
46,Philippe,4.62018,2018,$31 to $50,"33 East 60th Street New York, NY  10065",Chinese
47,'Cesca,4.12749,2749,$31 to $50,"164 W. 75th St. New York, NY  10024",Italian
48,Butter Midtown,4.23135,3135,$31 to $50,"70 West 45th New York, NY  10036",Contemporary American
49,Smith & Wollensky - New York,4.56405,6405,$50 and over,"797 Third Avenue New York, NY  10022",Steakhouse
50,Orsay,4.51899,1899,$31 to $50,"1057-59 Lexington Avenue New York, NY  10021",French
51,Nice Matin,4.4214,2140,$31 to $50,"201 West 79th Street New York, NY  10024",French
52,db Bistro moderne,4.46428,6428,$31 to $50,"55 West 44th Street New York, NY  10036",French
53,The Capital Grille - NY – Time Life Building,4.73338,3338,$50 and over,"120 West 51st Street, Time Life Bldg. New York, NY  10020",Steakhouse
54,FIG & OLIVE Meatpacking,4.65752,5752,$31 to $50,"420 West 13th Street New York, NY  10014",Mediterranean
55,Barbounia,4.62279,2279,$30 and under,"250 Park Ave South New York, NY  10003",Mediterranean
56,Kellari Taverna,4.45209,5209,$31 to $50,"19 West 44th Street New York, NY  10036",Greek
57,Craft,4.75098,5098,$50 and over,"43 E. 19th St. New York, NY  10003",American
58,Almond,4.62137,2137,$31 to $50,"12 East 22nd Street New York, NY  10010",Farm-to-table
59,Dos Caminos - Times Square,4.3877,877,$31 to $50,"1567 Broadway W Hotel Times Square New York, NY  10036",Mexican
60,Momofuku Nishi,4.5493,493,$31 to $50,"232 8th Ave New York, NY  10011",Contemporary American
61,Felidia,4.74613,4613,$31 to $50,"243 E. 58th New York, NY  10022",Italian
62,Rosa Mexicano - Union Square,4.53966,3966,$31 to $50,"9 E. 18th St. New York, NY  10003",Mexican
63,Taboon,4.71545,1545,$50 and over,"773 10th Avenue New York, NY  10019",Middle Eastern
64,Bocca Di Bacco (Theatre District - 45th St.),4.41957,1957,$30 and under,"635 9th Avenue New York, NY  10036",Italian
65,Rotisserie Georgette,4.71011,1011,$30 and under,"14 East 60th Street New York, NY  10022",French American
66,The National Bar & Dining Rooms,4.42319,2319,$30 and under,"557 Lexington Ave New York, NY  10022",Contemporary American
67,The Wayfarer,4.5626,626,$31 to $50,"101 West 57th St. New York, NY  10019",American
68,The Dining Room at The Metropolitan Museum of Art,4.4939,939,$50 and over,"1000 5th Avenue in the Metropolitan Museum of Art New York, NY  10028",Contemporary American
69,Il Mulino New York - Uptown,4.691,910,$50 and over,"37 East 60th New York, NY  10021",Italian
70,Molyvos,4.44103,4103,$31 to $50,"871 7th Avenue New York, NY  10019",Greek
71,Danji,4.7595,595,$31 to $50,"346 West 52nd Street New York, NY  10019",Korean
72,Tommy Bahama - New York,4.61466,1466,$30 and under,"551 Fifth Avenue New York, NY  10176",American
73,Marseille,4.45752,5752,$31 to $50,"630 Ninth Avenue New York, NY  10036",French
74,Sarabeth's East,4.369,690,$30 and under,"1295 Madison Avenue New York, NY  10128",American
75,The Capital Grille - NY – Chrysler Center,4.73491,3491,$50 and over,"155 E 42nd Street Located in the Trylon Towers of The Chrysler Center New York, NY  10017",Steakhouse
76,Hunt & Fish Club NYC,4.61075,1075,$50 and over,"125 West 44th Street New York, NY  10036",Steakhouse
77,Ammos Estiatorio,4.63773,3773,$31 to $50,"52 Vanderbilt Avenue New York, NY  10017",Seafood
78,T-BAR Steak & Lounge (Upper East Side),4.6127,1270,$31 to $50,"1278 3rd Avenue New York, NY  10028",Steakhouse
79,Bocca di Bacco (Hell's Kitchen - 54th St.),4.61627,1627,$30 and under,"828 9th Avenue New York, NY  10019",Italian
80,The Clocktower,4.51019,1019,$50 and over,"5 Madison Ave. New York, NY  10010",English
81,Masseria dei Vini,4.6119,1190,$31 to $50,"887-889 9th Ave. New York, NY  10019",Italian
82,Lexington Brass,4.51089,1089,$31 to $50,"517 Lexington Avenue New York, NY  10017",American
83,Serra by Birreria,4.21296,1296,$30 and under,"200 Fifth Avenue New York, NY  10010",Italian
84,GAONNURI,4.5183,1830,$31 to $50,"1250 BROADWAY 39th Floor New York, NY  10001",Korean
85,Obao,4.31702,1702,$31 to $50,"647 9th Avenue New York, NY  10036",Thai
86,Remi,4.52206,2206,$31 to $50,"145 West 53rd Street New York, NY  10019",Italian
87,Glass House Tavern,4.33642,3642,$31 to $50,"252 West 47th Street New York, NY  10036",Contemporary American
88,Dos Caminos - Third Avenue,4.32396,2396,$31 to $50,"825 Third Avenue at 50th Street New York, NY  10022",Mexican
89,Stella 34 Trattoria,4.41973,1973,$30 and under,"Macy’s at Herald Square 151 West 34th Street New York, NY  10001",Italian
90,MR CHOW - 57th,4.6171,1710,$50 and over,"324 East 57th Street New York, NY  10022",Chinese
91,Casa Lever,4.71092,1092,$50 and over,"390 Park Avenue New York, NY  10022",Italian
92,Jams - NYC,4.4471,471,$30 and under,"1414 6th Avenue New York, NY  10019",American
93,Ousia,4.5383,383,$31 to $50,"629 W 57th St New York, NY  10019",Mediterranean
94,Rosa Mexicano - First Avenue,4.52015,2015,$31 to $50,"1063 1st Avenue New York, NY  10022",Mexican
95,Red Cat,4.73209,3209,$31 to $50,"227 Tenth Avenue New York, NY  10011",American
96,Ruth's Chris Steak House - New York City - Midtown,4.54233,4233,$31 to $50,"148 West 51st Street New York, NY  10019",Steakhouse
97,Sea Fire Grill,4.61734,1734,$31 to $50,"158 East 48th Street New York, NY  10017",Seafood
98,Blue Water Grill,4.55011,5011,$31 to $50,"31 Union Square West at 16th Street New York, NY  10003",Seafood
99,Vaucluse,4.51078,1078,$31 to $50,"100 East 63rd Street New York, NY  10065",French
100,LEGASEA,4.3261,261,$50 and over,"485 Seventh Avenue New York, NY  10018",Seafood
101,STK - NYC - Meatpacking,4.41513,1513,$31 to $50,"26 Little West 12th St. New York, NY  10014",Steakhouse
102,Esca,4.34874,4874,$30 and under,"402 West 43rd Street New York, NY  10036",Italian
103,The Leopard at des Artistes,4.51329,1329,$50 and over,"1 West 67th St. New York, NY  10023",Italian
104,21 Club,4.73262,3262,$50 and over,"21 West 52nd Street New York, NY  10019",American
105,Benoit Restaurant and Wine Bar,4.5317,3170,$31 to $50,"60 West 55th Street New York, NY  10019",French
106,DaDong NY,4.1342,342,$31 to $50,"3 Bryant Park New York, NY  10036",Chinese
107,Lincoln Square Steak,4.51976,1976,$50 and over,"208 West 70th Street New York, NY  10023",Steakhouse
108,Club A Steakhouse,4.83371,3371,$31 to $50,"240 East 58th Street New York, NY  10022",Steakhouse
109,Anassa Taverna,4.5864,864,$31 to $50,"200 East 60th Street New York, NY  10022",Greek
110,Cafe d'Alsace,4.41664,1664,$31 to $50,"1695 2nd Ave (Corner of  88th Street & 2nd Ave) New York, NY  10128",French
111,Burke & Wills,4.6516,516,$31 to $50,"226 West 79th Street New York, NY  10024",Australian
112,Boucherie - Park Avenue South,4.3128,128,$31 to $50,"225 Park Ave South New York, NY  10003-1604",French
113,Natsumi Restaurant,4.5162,1620,$31 to $50,"226 West 50th Street New York, NY  10019",Japanese
114,Armani Ristorante 5th Avenue,4.71087,1087,$31 to $50,"717 5th Avenue New York, NY  10022",Italian
115,Brasserie Ruhlmann,4.5136,1360,$31 to $50,"45 Rockefeller Plaza New York, NY  10011",French American
116,Docks Oyster Bar and Seafood Grill,4.42045,2045,$31 to $50,"633 Third Avenue New York, NY  10017",Seafood
117,Chez Josephine,4.44702,4702,$31 to $50,"414 West 42nd Street New York, NY  10036",French
118,Brasserie 8 1/2,4.53619,3619,$31 to $50,"9 West 57th St. New York, NY  10019",French
119,Churrascaria Plataforma Brazilian Steakhouse,4.61918,1918,$50 and over,"316 West 49th Street New York, NY  10019",Brazilian Steakhouse
120,Riverpark,4.63113,3113,$31 to $50,"450 East 29th Street New York, NY  10016",American
121,Casa Nonna - Midtown,4.51721,1721,$31 to $50,"310 West 38th Street New York, NY  10010",Italian
122,Farmer & The Fish - Gramercy,4.3463,463,$30 and under,"245 Park Ave S New York, NY  10003",Farm-to-table
123,The Sea Grill,4.63392,3392,$31 to $50,"Rockefeller Center - 19 W.49th Street or via the concourse thru any Rockefeller Center entrance New York, NY  10020",Seafood
124,Bar Italia,4.6454,454,$31 to $50,"768 Madison Avenue New York, NY  10065",Italian
125,Strip House Midtown,4.51586,1586,$50 and over,"15 West 44th New York, NY  10036",Steak
126,Maiella - LIC,4.61001,1001,$31 to $50,"46-10 Center Blvd. Long Island City, NY  11109",Italian
127,Storico,4.3124,1240,$31 to $50,"New-York Historical Society 170 Central Park West New York, NY  10024",Contemporary Italian
128,Naples 45 Ristorante E Pizzeria,4.4976,976,$30 and under,"200 Park Avenue New York, NY  10166",Italian
129,La Sirena - The Dining Room,4.4724,724,$31 to $50,"88 Ninth Avenue New York, NY  10011",Italian
130,Benjamin Steakhouse Prime,4.8356,356,$50 and over,"23 E 40th St. New York, NY  10016",American
131,Tavern 62 by David Burke,4.4518,518,$31 to $50,"135 E 62nd St New York, NY  10065",American
132,Michael's,4.71135,1135,$31 to $50,"24 West 55th Street New York, NY  10019",American
133,Le Coq Rico,4.71035,1035,$31 to $50,"30 East 20th Street New York, NY  10003",Contemporary French
134,Match 65 Brasserie (formerly Paris Match),4.5638,638,$31 to $50,"29 East 65th Street New York, NY  10065",French
135,Barbetta Restaurant,4.23225,3225,$31 to $50,"321 West 46th Street New York, NY  10036",Italian
136,Pera Mediterranean Brasserie,4.41657,1657,$31 to $50,"303 Madison Avenue New York, NY  10017",Mediterranean
137,The Whitby Bar and Restaurant,4.6162,162,$31 to $50,"18 W 56th St New York, NY  10019",American
138,FIG & OLIVE Uptown,4.4214,2140,$31 to $50,"808 Lexington Avenue New York, NY  10065",Mediterranean
139,Monkey Bar,4.697,970,$50 and over,"60 East 54th Street New York, NY  10022",American
140,Rock Center Cafe,4.43316,3316,$31 to $50,"Rockefeller Center 20. West 50th Street New York, NY  10020",Contemporary American
141,Obica Mozzarella Bar  Pizza e Cucina,4.4546,546,$31 to $50,"928 Broadway New York, NY  10010",Italian
142,Etcetera Etcetera,4.62714,2714,$31 to $50,"352 West 44th Street New York, NY  10036",Italian
143,Café Centro,4.52006,2006,$31 to $50,"Metlife Building 200 Park Avenue New York, NY  10166",French
144,Periyali,4.71781,1781,$31 to $50,"35 W. 20th St. New York, NY  10011",Greek
145,Shun Lee West,4.2239,2390,$31 to $50,"43 West 65th Street New York, NY  10023",Chinese
146,Haru Sushi - Amsterdam Ave,4.563,63,$31 to $50,"433 Amsterdam Avenue New York, NY  10024",Japanese
147,Zengo - NYC,4.51909,1909,$31 to $50,"622 Third Avenue New York, NY  10017",Asian
148,Manzo Ristorante - Eataly NYC Flatiron,4.5697,697,$31 to $50,"200 5th Avenue New York, NY  10010",Italian
149,Bagatelle - NY,4.4429,429,$31 to $50,"One Little West 12th New York, NY  10014",French
150,Trattoria Zero Otto Nove,4.6893,893,$31 to $50,"15 West 21st Street New York, NY  10010",Italian
151,Ortzi by Jose Garces,4.525,250,$31 to $50,"120 W 41st St New York, NY  10036",Basque
152,American Cut Steakhouse Midtown,4.6389,389,$31 to $50,"109 East 56th St. New York, NY  10022",Steakhouse
153,Maloney & Porcelli,4.42222,2222,$50 and over,"37 E. 50th St. New York, NY  10022",American
154,Royal 35 Steakhouse,4.7411,411,$50 and over,"1 E 35th St New York, NY  10016",Steakhouse
155,Chazz Palminteri Italian Restaurant,4.5764,764,$50 and over,"30 W 46th Street New York, NY  10036",Italian
156,Bodega Negra,4.6661,661,$50 and over,"355 West 16th street New York, NY  10011",Contemporary Mexican
157,Dos Caminos - Park,4.4163,1630,$31 to $50,"373 Park Ave South at 27th Street New York, NY  10016",Mexican
158,Barraca,4.475,750,$31 to $50,"81 Greenwich Ave New York, NY  10014",Spanish
159,Gabriel's Bar & Restaurant,4.5776,776,$50 and over,"11 West 60th St. New York, NY  10023",Italian
160,The Cecil Steakhouse,4.21213,1213,$31 to $50,"210 W 118th St New York, NY  10026",American
161,Dos Caminos – Meatpacking,4.31291,1291,$31 to $50,"675 Hudson Street at 14th Street New York, NY  10014",Mexican
162,Bobby Van's Grill - 50th Street,4.61744,1744,$31 to $50,"135 West 50th Street New York, NY  10020",American
163,Untitled at the Whitney,4.61014,1014,$31 to $50,"99 Gansevoort Street New York, NY  10014",American
164,Bedford & Co.,4.5379,379,$31 to $50,"118 East 40th Street New York, NY  10016",Contemporary American
165,Pampano New York,4.5187,1870,$31 to $50,"209 E. 49th St. New York, NY  10017",Mexican
166,Cipriani - Dolci,4.41112,1112,$31 to $50,"89 East 42nd Street Grand Central Terminal West Balcony New York, NY  10017",Italian
167,Lugo Cucina,4.41445,1445,$31 to $50,"1 Penn Plaza New York, NY  10019",Italian
168,Rouge Tomate Chelsea,4.519,190,$31 to $50,"126 W 18th St New York, NY  10011",Contemporary American
169,Socarrat Paella Bar - Chelsea,4.61151,1151,$31 to $50,"259 W 19th St. New York, NY  10011",Spanish
170,Bann Restaurant,4.61249,1249,$31 to $50,"350 West 50th Street New York, NY  10019",Korean
